,mean_abs_shap
heart_rate_min,1.2342488761137367
temperature_min,0.9264589929497613
sbp_min,0.6946434394135227
heart_rate_max,0.6150926053686724
resp_rate_min,0.5991321470743944
heart_rate_std,0.5984253973204637
heart_rate_mean,0.5707273016026532
resp_rate_max,0.5479011367866367
temperature_std,0.4833741526754855
temperature_mean,0.4231340500428775
sbp_mean,0.38408792375890904
resp_rate_std,0.36897294153795496
dbp_min,0.3597225769911433
spo2_mean,0.3423270028298353
sbp_max,0.32445434658742417
sbp_std,0.2744444100720359
spo2_max,0.23918186482319234
wbc_std,0.19368076996211014
wbc_mean,0.18072184681217876
dbp_std,0.1804320315423864
resp_rate_mean,0.1699040738055205
lactate_mean,0.1650739334065571
dbp_mean,0.1612767829823272
lactate_max,0.13926144595172352
lactate_min,0.1360273266587489
spo2_std,0.0930827258456324
temperature_max,0.08654002188976029
wbc_slope,0.08463873522926453
wbc_max,0.07599786158123167
wbc_min,0.07160241824850253
spo2_min,0.06897099457098842
dbp_max,0.04209854528655864
resp_rate_slope,0.024097730158721294
dbp_slope,0.019909236075292495
temperature_slope,0.019639598784841984
lactate_std,0.019345147728122892
sbp_slope,0.017523644731273737
spo2_slope,0.01173952309081295
heart_rate_slope,0.00889693429575766
lactate_slope,0.0008392063297660722
