,mean_abs_shap
temperature_min,0.3891956
resp_rate_min,0.37339568
wbc_std,0.35367948
wbc_slope,0.31448793
dbp_std,0.22915159
temperature_slope,0.18716568
wbc_min,0.17160498
heart_rate_min,0.16947864
sbp_std,0.14586909
spo2_std,0.14149056
spo2_slope,0.13986963
temperature_mean,0.12547164
sbp_slope,0.11531671
resp_rate_mean,0.11011066
lactate_mean,0.10552902
resp_rate_slope,0.104496755
heart_rate_slope,0.094470724
resp_rate_std,0.08821151
wbc_max,0.08282909
sbp_max,0.077287674
lactate_slope,0.0762905
spo2_min,0.0733495
heart_rate_std,0.06956227
dbp_min,0.06932933
wbc_mean,0.067009754
dbp_slope,0.05847582
sbp_mean,0.056425463
spo2_mean,0.05449856
lactate_std,0.04706023
temperature_std,0.044441894
sbp_min,0.041765857
dbp_mean,0.037943784
heart_rate_max,0.03427612
heart_rate_mean,0.033995938
spo2_max,0.03369029
dbp_max,0.03361882
temperature_max,0.022724433
resp_rate_max,0.020126315
lactate_max,0.017881747
lactate_min,0.010174623
